date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:37:10	299113/299113	---M-Z	200	added ('OK')	text/html	etag:%2249069-6005e6c544c8c-gzip%22	https://themesbrand.com/velzon/html/default/index.html	D:/games/My%20Codes/Admin%20theme/themesbrand.com/velzon/html/default/index.html	(from )
12:37:10	24/24	---M--	200	added ('OK')	text/plain	etag:%2218-5afe3c4199080%22	https://themesbrand.com/robots.txt		(from )
12:37:10	113853/113853	---M--	200	added ('OK')	image/vnd.microsoft.icon	etag:%221bcbd-5d76f07d704ab%22	https://themesbrand.com/velzon/html/default/assets/images/favicon.ico	D:/games/My%20Codes/Admin%20theme/themesbrand.com/velzon/html/default/assets/images/favicon.ico	(from https://themesbrand.com/velzon/html/default/index.html)
12:37:11	2144/2144	---M-Z	200	added ('OK')	text/css	etag:%22860-5d76f07dadd21-gzip%22	https://themesbrand.com/velzon/html/default/assets/libs/jsvectormap/css/jsvectormap.min.css	D:/games/My%20Codes/Admin%20theme/themesbrand.com/velzon/html/default/assets/libs/jsvectormap/css/jsvectormap.min.css	(from https://themesbrand.com/velzon/html/default/index.html)
12:37:11	17905/17905	---M-Z	200	added ('OK')	text/css	etag:%2245f1-6005e6c53910c-gzip%22	https://themesbrand.com/velzon/html/default/assets/libs/swiper/swiper-bundle.min.css	D:/games/My%20Codes/Admin%20theme/themesbrand.com/velzon/html/default/assets/libs/swiper/swiper-bundle.min.css	(from https://themesbrand.com/velzon/html/default/index.html)
12:37:11	1237/1237	---M-Z	200	added ('OK')	application/javascript	etag:%224d5-6005e6c4f2c0a-gzip%22	https://themesbrand.com/velzon/html/default/assets/js/layout.js	D:/games/My%20Codes/Admin%20theme/themesbrand.com/velzon/html/default/assets/js/layout.js	(from https://themesbrand.com/velzon/html/default/index.html)
12:37:11	282290/282290	---M-Z	200	added ('OK')	text/css	etag:%2244eb2-6005e6c4f2c0a-gzip%22	https://themesbrand.com/velzon/html/default/assets/css/bootstrap.min.css	D:/games/My%20Codes/Admin%20theme/themesbrand.com/velzon/html/default/assets/css/bootstrap.min.css	(from https://themesbrand.com/velzon/html/default/index.html)
12:37:11	556862/556862	---MCZ	200	added ('OK')	text/css	etag:%2287f3e-5e2fa9ebf1ff3-gzip%22	https://themesbrand.com/velzon/html/default/assets/css/icons.min.css	D:/games/My%20Codes/Admin%20theme/themesbrand.com/velzon/html/default/assets/css/icons.min.css	(from https://themesbrand.com/velzon/html/default/index.html)
12:37:12	339049/339049	---M-Z	200	added ('OK')	text/css	etag:%2252c69-6005e6c4f1c6a-gzip%22	https://themesbrand.com/velzon/html/default/assets/css/app.min.css	D:/games/My%20Codes/Admin%20theme/themesbrand.com/velzon/html/default/assets/css/app.min.css	(from https://themesbrand.com/velzon/html/default/index.html)
12:37:12	44/44	---M--	200	added ('OK')	text/css	etag:%222c-5d8229bcc7e5e%22	https://themesbrand.com/velzon/html/default/assets/css/custom.min.css	D:/games/My%20Codes/Admin%20theme/themesbrand.com/velzon/html/default/assets/css/custom.min.css	(from https://themesbrand.com/velzon/html/default/index.html)
